total_cases,new_cases,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,cases_test_ratio,target,cases_lag_1,cases_lag_2
11096731.0,0.0,157051.0,0.0,107.0,7784.87,110.18,0.0,0.08,1.15,219940742.0,761834.0,156.26,0.54,754182.0,0.54,0.02,47.1,19497704.0,15996683.0,3501021.0,1492201.0,820109.0,1.38,1.13,0.25,579.0,634832.0,0.04,63.43,0.0,0.0,0.0,0.0
11096731.0,0.0,157051.0,0.0,107.0,7784.87,110.18,0.0,0.08,1.17,220692677.0,751935.0,156.79,0.53,751042.0,0.53,0.02,46.1,20922344.0,17168303.0,3754041.0,1424640.0,954257.0,1.48,1.21,0.26,673.0,768519.0,0.05,63.43,0.0,11.64455880743666,0.0,0.0
11210799.0,114068.0,157756.0,705.0,100.71,7864.89,110.67,0.5,0.07,1.18,221430507.0,737830.0,157.32,0.52,742772.0,0.53,0.02,44.4,20989010.0,17227903.0,3761107.0,66666.0,955392.0,1.48,1.22,0.27,674.0,768975.0,0.05,63.43,0.15357047173227892,0.0,0.0,0.0
11210799.0,0.0,157756.0,0.0,100.71,7864.89,110.67,0.0,0.07,1.25,223479877.0,763081.0,158.77,0.54,725229.0,0.52,0.03,39.5,25685011.0,21034481.0,4650530.0,1317105.0,1295566.0,1.81,1.48,0.33,914.0,1042194.0,0.07,57.87,0.0,0.0,114068.0,0.0
11210799.0,0.0,157756.0,0.0,100.71,7864.89,110.67,0.0,0.07,1.27,224258293.0,778416.0,159.32,0.55,725626.0,0.52,0.03,37.6,26164920.0,21435841.0,4729079.0,479909.0,1165631.0,1.85,1.51,0.33,823.0,948429.0,0.07,57.87,0.0,0.0,0.0,114068.0
11210799.0,0.0,157756.0,0.0,100.71,7864.89,110.67,0.0,0.07,1.29,224998638.0,740345.0,159.85,0.53,722557.0,0.51,0.03,35.7,28218457.0,23075504.0,5142953.0,2053537.0,1245822.0,1.99,1.63,0.36,879.0,1011260.0,0.07,57.87,0.0,0.0,0.0,0.0
11210799.0,0.0,157756.0,0.0,100.71,7864.89,110.67,0.0,0.07,1.31,225839273.0,840635.0,160.45,0.6,735228.0,0.52,0.03,34.7,29738409.0,24307635.0,5430774.0,1519952.0,1259438.0,2.1,1.72,0.38,889.0,1019905.0,0.07,57.87,0.0,11.906655316859972,0.0,0.0
11359048.0,148249.0,158607.0,851.0,121.57,7968.9,111.27,0.6,0.08,1.34,226703641.0,864368.0,161.06,0.61,753305.0,0.54,0.03,33.8,29908038.0,24452385.0,5455653.0,169629.0,1274147.0,2.11,1.73,0.38,899.0,1032069.0,0.07,57.87,0.19679784841750894,0.0,0.0,0.0
11359048.0,0.0,158607.0,0.0,121.57,7968.9,111.27,0.0,0.08,1.37,227407413.0,703772.0,161.56,0.5,761966.0,0.54,0.03,32.3,32947432.0,27079484.0,5867948.0,3039394.0,1419814.0,2.32,1.91,0.41,1002.0,1162314.0,0.08,57.87,0.0,0.0,148249.0,0.0
11359048.0,0.0,158607.0,0.0,121.57,7968.9,111.27,0.0,0.08,1.4,228280763.0,873350.0,162.18,0.62,794852.0,0.56,0.03,31.6,35064536.0,28862037.0,6202499.0,2117104.0,1528090.0,2.47,2.04,0.44,1078.0,1265401.0,0.09,57.87,0.0,0.0,0.0,148249.0
11359048.0,0.0,158607.0,0.0,121.57,7968.9,111.27,0.0,0.08,1.42,229249784.0,969021.0,162.87,0.69,824272.0,0.59,0.03,30.5,37143255.0,30600787.0,6542468.0,2078719.0,1636892.0,2.62,2.16,0.46,1155.0,1366615.0,0.1,57.87,0.0,0.0,0.0,0.0
11359048.0,0.0,158607.0,0.0,121.57,7968.9,111.27,0.0,0.08,1.44,230313163.0,1063379.0,163.62,0.76,864981.0,0.62,0.03,29.5,39339817.0,32426230.0,6913587.0,2196562.0,1882128.0,2.78,2.29,0.49,1328.0,1570056.0,0.11,57.87,0.0,0.0,0.0,0.0
11359048.0,0.0,158607.0,0.0,121.57,7968.9,111.27,0.0,0.08,1.45,231370546.0,1057383.0,164.38,0.75,910273.0,0.65,0.03,28.8,42063392.0,34842030.0,7221362.0,2723575.0,1977848.0,2.97,2.46,0.51,1396.0,1680932.0,0.12,57.87,0.0,0.0,0.0,0.0
11359048.0,0.0,158607.0,0.0,121.57,7968.9,111.27,0.0,0.08,1.45,232431517.0,1060971.0,165.13,0.75,941749.0,0.67,0.04,27.5,44603841.0,37125187.0,7478654.0,2540449.0,2123633.0,3.15,2.62,0.53,1498.0,1831079.0,0.13,57.87,0.0,0.0,0.0,0.0
11599130.0,0.0,159755.0,0.0,164.0,8137.32,112.08,0.0,0.12,1.43,235413233.0,967459.0,167.25,0.69,1018924.0,0.72,0.04,24.2,50841286.0,42731952.0,8109334.0,2346692.0,2253821.0,3.59,3.02,0.57,1590.0,1981416.0,0.14,57.87,0.0,0.0,0.0,0.0
11599130.0,0.0,159755.0,0.0,164.0,8137.32,112.08,0.0,0.12,1.43,236438861.0,1025628.0,167.98,0.73,1027011.0,0.73,0.04,23.0,53145709.0,44846538.0,8299171.0,2304423.0,2286065.0,3.75,3.16,0.59,1613.0,2035107.0,0.14,57.87,0.0,0.0,0.0,0.0
11599130.0,0.0,159755.0,0.0,164.0,8137.32,112.08,0.0,0.12,1.42,237503882.0,1065021.0,168.73,0.76,1027246.0,0.73,0.05,21.6,55504440.0,47001472.0,8502968.0,2358731.0,2309232.0,3.92,3.32,0.6,1629.0,2082177.0,0.15,57.87,0.0,0.0,0.0,0.0
11599130.0,0.0,159755.0,0.0,164.0,8137.32,112.08,0.0,0.12,1.41,238604638.0,1100756.0,169.52,0.78,1033442.0,0.73,0.05,20.5,58109773.0,49426618.0,8683155.0,2605333.0,2292340.0,4.1,3.49,0.61,1618.0,2083513.0,0.15,57.87,0.0,0.0,0.0,0.0
11599130.0,0.0,159755.0,0.0,164.0,8137.32,112.08,0.0,0.12,1.4,239769553.0,1164915.0,170.34,0.83,1048291.0,0.74,0.05,19.7,60269782.0,51441436.0,8828346.0,2160009.0,2237992.0,4.25,3.63,0.62,1579.0,2045178.0,0.14,57.87,0.0,12.827978893892872,0.0,0.0
11971624.0,372494.0,161552.0,1797.0,256.71,8398.65,113.34,1.26,0.18,1.39,240950842.0,1181289.0,171.18,0.84,1073171.0,0.76,0.05,19.1,60530435.0,51660234.0,8870201.0,260653.0,2209205.0,4.27,3.65,0.63,1559.0,2012276.0,0.14,57.87,0.3470962716134972,0.0,0.0,0.0
11971624.0,0.0,161552.0,0.0,256.71,8398.65,113.34,0.0,0.18,1.38,241864161.0,913319.0,171.83,0.65,1059770.0,0.75,0.06,18.1,61113354.0,52211398.0,8901956.0,582919.0,1802680.0,4.31,3.68,0.63,1272.0,1654321.0,0.12,57.87,0.0,0.0,372494.0,0.0
11971624.0,0.0,161552.0,0.0,256.71,8398.65,113.34,0.0,0.18,1.37,242650025.0,785864.0,172.39,0.56,1033827.0,0.73,0.06,17.4,63054353.0,53989035.0,9065318.0,1940999.0,1744724.0,4.45,3.81,0.64,1231.0,1608155.0,0.11,57.87,0.0,0.0,0.0,372494.0
11971624.0,0.0,161552.0,0.0,256.71,8398.65,113.34,0.0,0.18,1.39,243672940.0,1022915.0,173.12,0.73,1033440.0,0.73,0.06,16.7,65117896.0,55783201.0,9334695.0,2063543.0,1710312.0,4.59,3.94,0.66,1207.0,1562380.0,0.11,57.87,0.0,0.0,0.0,0.0
11971624.0,0.0,161552.0,0.0,256.71,8398.65,113.34,0.0,0.18,1.41,244798621.0,1125681.0,173.92,0.8,1042106.0,0.74,0.06,16.0,68789138.0,59148798.0,9640340.0,3671242.0,1897814.0,4.85,4.17,0.68,1339.0,1735332.0,0.12,57.87,0.0,0.0,0.0,0.0
11971624.0,0.0,161552.0,0.0,256.71,8398.65,113.34,0.0,0.18,1.43,245912587.0,1113966.0,174.71,0.79,1043993.0,0.74,0.07,15.1,73054295.0,63081589.0,9972706.0,4265157.0,2134932.0,5.15,4.45,0.7,1506.0,1950710.0,0.14,57.87,0.0,0.0,0.0,0.0
11971624.0,0.0,161552.0,0.0,256.71,8398.65,113.34,0.0,0.18,1.45,246959192.0,1046605.0,175.45,0.74,1027091.0,0.73,0.07,14.0,75979651.0,65739470.0,10240181.0,2925356.0,2244267.0,5.36,4.64,0.72,1584.0,2042576.0,0.14,74.54,0.0,13.14975672995502,0.0,0.0
12485509.0,513885.0,164623.0,3071.0,438.71,8759.16,115.49,2.15,0.31,1.47,248125908.0,1166716.0,176.28,0.83,1025009.0,0.73,0.08,13.1,79105163.0,68678838.0,10426325.0,3125512.0,2653533.0,5.58,4.85,0.74,1872.0,2431229.0,0.17,74.54,0.5013463283285041,0.0,0.0,0.0
12485509.0,0.0,164623.0,0.0,438.71,8759.16,115.49,0.0,0.31,1.48,249019657.0,893749.0,176.92,0.64,1022214.0,0.73,0.08,12.1,83110926.0,72277309.0,10833617.0,4005763.0,3142510.0,5.86,5.1,0.76,2217.0,2866559.0,0.2,69.91,0.0,0.0,513885.0,0.0
12485509.0,0.0,164623.0,0.0,438.71,8759.16,115.49,0.0,0.31,1.49,250231269.0,1211612.0,177.78,0.86,1083035.0,0.77,0.09,11.6,87077474.0,75937015.0,11140459.0,3966548.0,3431874.0,6.14,5.36,0.79,2422.0,3135426.0,0.22,69.91,0.0,0.0,0.0,513885.0
12485509.0,0.0,164623.0,0.0,438.71,8759.16,115.49,0.0,0.31,1.49,251439598.0,1208329.0,178.64,0.86,1109523.0,0.79,0.09,11.0,90198673.0,78763027.0,11435646.0,3121199.0,3582968.0,6.36,5.56,0.81,2528.0,3282832.0,0.23,69.91,0.0,0.0,0.0,0.0
12485509.0,0.0,164623.0,0.0,438.71,8759.16,115.49,0.0,0.31,1.49,252677379.0,1237781.0,179.51,0.88,1125537.0,0.8,0.1,10.4,94334262.0,82456522.0,11877740.0,4135589.0,3649303.0,6.66,5.82,0.84,2575.0,3329675.0,0.24,69.91,0.0,0.0,0.0,0.0
12485509.0,0.0,164623.0,0.0,438.71,8759.16,115.49,0.0,0.31,1.49,254041584.0,1364205.0,180.48,0.97,1161285.0,0.82,0.1,10.0,98075160.0,85763852.0,12311308.0,3740898.0,3574409.0,6.92,6.05,0.87,2522.0,3240323.0,0.23,69.91,0.0,0.0,0.0,0.0
